,Country,Human Development Index (HDI),Inequality-adjusted HDI (IHDI),Overall loss (%),Difference from HDI rank,Coefficient of human inequality nan,Inequality in life expectancy (%),Inequality-adjusted life expectancy index,Inequality in education (%),Inequality-adjusted education index,Inequality in income (%),Inequality-adjusted income index,Income shares held by (%) Poorest 40 percent,Richest 10 percent, Richest 1 percent,Gini coefficient,Level of human development,Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,HDI rank,kg meat/person,cal,has_uhc
6,Sweden,0.947,0.885,6.546990496304117,0.0,6.4165548626666675,2.610124588,0.9436824215440954,3.8679,0.8847267953741277,12.77164,0.8301875004434117,21.9,22.7,10.54,29.3,Very high,82.9833,19.41852951,12.60972023,54489.37401,9.0,9.0,77.07,3184.0,1.0
99,Suriname,0.73,0.532,27.123287671232877,-18.0,25.349684673333332,10.98505402,0.6884867844126636,18.36769,0.5616258557664925,46.69631,0.38986916259732957,-99.9,-99.9,20.75,-99.9,High,70.2743,13.03564357,9.77680063,12672.20033,-6.0,92.0,42.4,2698.0,1.0
126,Bhutan,0.666,0.471,29.27927927927929,-6.0,27.701384979999997,14.92243862,0.6781990527545692,48.22657529,0.27942289203181775,19.95514103,0.5498223712387398,17.5,27.9,14.17,37.4,Medium,71.815,13.22500478,5.170262283,9437.541512,-15.0,125.0,3.0,-99.9,1.0
26,Spain,0.905,0.788,12.928176795580104,-12.0,12.643022653666668,2.883327961,0.9414340777195985,15.73379,0.7172782101050731,19.31195,0.7251403047613061,18.5,24.9,12.38,34.3,Very high,83.01,17.91690063,10.60540009,38353.60164,10.0,27.0,100.26,3322.0,1.0
183,Burkina Faso,0.449,0.315,29.84409799554566,5.0,29.275306110000002,31.36138916,0.41467858342191755,39.15279412,0.19741630944463281,17.31173505,0.3813382777050023,14.1,37.5,14.56,47.3,Low,59.2696,9.142100334,2.114962259,2117.915916,-8.0,185.0,12.0,2737.0,1.0
87,Colombia,0.752,0.589,21.675531914893618,-14.0,20.577433441,9.370814323,0.7366005580987137,14.64929,0.5945668359552478,37.712196,0.4675039751994316,10.2,42.2,19.89,54.2,High,72.8296,14.44274998,8.862859726,14384.35666,-7.0,88.0,55.91,3114.0,1.0
14,Canada,0.936,0.86,8.119658119658125,1.0,7.901529772333334,4.106589317,0.9243608440706753,2.521,0.8934917551259851,17.077,0.7701781684145677,19.5,25.3,13.91,33.3,Very high,82.6565,16.39625931,13.83442722,46807.98619,9.0,15.0,82.63,3566.0,1.0
63,Mauritius,0.802,0.666,16.957605985037404,-11.0,16.91017719666667,10.63656712,0.7362886954730732,21.91298205,0.6005547252539314,18.18098242,0.6667532262927431,18.8,29.9,15.89,36.8,Very high,73.5552,15.17352977,10.42791048,22025.34631,-1.0,62.0,50.9,3051.0,1.0
10,Finland,0.94,0.89,5.319148936170204,6.0,5.224387065,2.774231195,0.9279541488771493,2.41555,0.9066772933788445,10.48338,0.838849477728277,23.1,23.0,10.88,27.7,Very high,82.0381,19.05192947,12.87362003,49452.16672,11.0,12.0,76.7,3343.0,1.0
27,France,0.903,0.825,8.637873754152835,2.0,8.485328055333333,3.816274166,0.9248257606390768,7.72173,0.7624272020702528,13.91798,0.7970765094206758,20.9,26.7,9.84,32.4,Very high,82.4988,15.81206989,11.61005974,45937.05273,-2.0,28.0,83.05,3502.0,1.0
89,Maldives,0.747,0.594,20.481927710843372,-9.0,19.766298611666667,4.133515835,0.8837149494608157,29.31948,0.4205885500259466,25.8459,0.5645588188738526,22.1,23.3,13.26,29.3,High,79.9182,12.63560963,7.322,15448.12788,-14.0,97.0,20.61,2235.0,1.0
61,Malaysia,0.803,-99.9,-99.9,-99.9,-99.9,6.002527237,0.7936842915964947,12.06360206,0.6379568755391525,-99.9,-99.9,15.9,31.3,14.87,41.1,Very high,74.8839,13.34304047,10.64505959,26657.94355,-8.0,61.0,52.9,2845.0,1.0
62,Georgia,0.802,0.706,11.97007481296759,-2.0,11.411613719,6.600036144,0.7428027279341638,2.784805013,0.8359206086281937,24.85,0.5662287906839207,19.0,26.2,21.11,34.5,Very high,71.694,15.56851959,12.82221985,14664.16825,17.0,64.0,31.83,2835.0,1.0
8,Germany,0.942,0.883,6.2632696390658165,1.0,6.177129593,3.408158779,0.9009804603712849,2.6632,0.9171100269649559,12.46003,0.8332619977786453,20.8,25.1,12.77,31.7,Very high,80.6301,17.01013947,14.09096691,54534.21682,6.0,7.0,87.79,3554.0,1.0
35,Lithuania,0.875,0.8,8.571428571428562,2.0,8.316025070666667,4.317045212,0.7907842922318213,3.57741,0.8700205264583526,17.05362,0.7440485934746194,19.0,27.5,10.95,35.3,Very high,73.7201,16.28506088,13.49810028,37931.30359,5.0,34.0,81.28,3411.0,1.0
85,Mexico,0.758,0.621,18.07387862796834,-3.0,17.59461132266667,9.496991158,0.6991385280124143,13.48795481,0.62311983386168,29.798888,0.5500629804935636,14.3,35.5,28.42,45.4,High,70.2127,14.86443996,9.221050262,17896.29498,-16.0,88.0,64.88,3157.0,1.0
132,Ghana,0.632,0.458,27.531645569620256,-6.0,27.33194806333333,22.75168419,0.5204801369577345,35.10167,0.3973876909769435,24.14249,0.46417277660361284,14.3,32.2,15.23,43.5,Medium,63.7954,12.04778004,8.329886695,5744.504017,-2.0,135.0,13.73,3035.0,1.0
49,Kuwait,0.831,-99.9,-99.9,-99.9,-99.9,5.555344582,0.8525141265961188,22.10817735,0.5218332467047012,-99.9,-99.9,-99.9,-99.9,19.38,-99.9,Very high,78.6729,15.32443332,7.328022618,52919.76137,-32.0,54.0,67.12,3471.0,1.0
3,Hong Kong,0.952,0.828,13.025210084033612,-19.0,12.429978021666669,2.05559516,0.9794440484,9.671619265,0.801654874419992,25.56271964,0.7240643016086523,-99.9,-99.9,17.85,-99.9,Very high,85.4734,17.27816963,12.22620964,62606.8454,6.0,4.0,137.08,3267.0,1.0
2,Iceland,0.959,0.915,4.588112617309692,2.0,4.556437474333333,1.954472423,0.9454334133194956,2.20077,0.9378023567963795,9.51407,0.8643958632970039,23.9,22.1,8.78,26.1,Very high,82.6782,19.16305923,13.76716995,55782.04981,11.0,2.0,91.02,3654.0,1.0
18,Japan,0.925,0.85,8.108108108108114,2.0,7.894689109333332,2.510178328,0.9716570551102586,4.511,0.8291879166930088,16.662889,0.7611998321622496,20.5,26.4,13.11,32.9,Very high,84.7839,15.22162588,13.36610034,42274.29134,12.0,19.0,49.33,2705.0,1.0
131,India,0.633,0.475,24.96050552922592,-2.0,24.393810273333333,16.93670082,0.6036759447082098,36.87573,0.34824873290213165,19.369,0.5101054563707209,19.8,30.1,21.73,35.7,Medium,67.2398,11.87462044,6.655109195,6589.980037,-6.0,130.0,3.78,2533.0,1.0
